"Your Kindle Notes For:",,,
"EXISTENTIAL KINK: UNMASK YOUR SHADOW AND EMBRACE YOUR POWER (A METHOD FOR GETTING WHAT YOU WANT BY GETTING OFF ON WHAT YOU DON'T)",,,
"by Carolyn Elliott",,,
"Free Kindle instant preview:",,,
"https://amzn.eu/bFiClD8",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 617","","Yes, everything. The world and our selves in all their fucked-up glory. That experience of total approval and total embrace, total absence of shame or aversion, is what the spirit is always trying to teach us about and it's ironically what our conscious mind mistranslates as all those “shoulds” and judgments."
"Highlight (Yellow)","Location 621","","Existential Kink is a potent form of magic (also known as: “psychological integration”) in which the receptive feminine—the unconscious, the disowned and denied, the soul—becomes pregnant with the perfection-vision of our spirit—the masculine, projective part of our being, and eventually gives birth to positive synchronous manifestations in our lives."
"Highlight (Yellow)","Location 624","","This is actually the esoteric meaning of the Immaculate Conception. The Virgin Mary becomes pregnant with the total approval spirit energy of God—she lets its energy flow all the way down through her, to her instinctual animal self and genitals. When she does that, she conceives and later gives birth to Jesus Christ, who is a symbol of the Anima Mundi, the World Soul, aka the Self."
"Highlight (Yellow)","Location 628","","What that means is you're going to take all the embracing-approval-seeking-inherent-perfection-perceiving power of your spirit, tell your ego “thanks but you can shut the fuck up for a while,” and send all that embracing-approval-seeking-inherent-perfection-perceiving down to your actual life, body, emotions, and present situation."
"Highlight (Yellow)","Location 635","","shame. And in dropping your resistance and negative judgment, you bring yourself fully into resonance with practical reality, which happens to be the only position from which you can effectively influence it."
"Highlight (Yellow)","Location 639","","When you fully commit to incarnation here, in this material plane, fully commit to being who-you-already-are-and-having-the-experience-you're-already-having with total orgasmic kinky joy—there's a paradox right there. The paradox is that once you fully commit to being who you already are, having what you already have, and hugely celebrating it, you become a masterful practical magician, a force of nature capable of shifting circumstances very easily."
"Highlight (Yellow)","Location 650","","You see, the unconscious, creative, animal part of us is always getting impregnated with seeds from the spirit and is always giving birth to magical results. But usually those seeds from the spirit have been genetically modified by the ego,"
"Highlight (Yellow)","Location 656","","To use dualistic language, we might say that before we get very deliberate about this work, we often create “negative” synchronicities. In other words, synchronicities or “meaningful coincidences” are perpetually happening: there's always a perfect, poetic rhyming mirror relationship between who you most deeply know yourself to be and what you externally experience."
"Highlight (Yellow)","Location 662","","The practice of Existential Kink that I'm about to share with you is a rapid and effective means of turning around who you most deeply experience yourself to be, thereby greatly improving the quality of synchronous experience in your life."
"Highlight (Yellow)","Location 673","","In other words, the seven axioms I'll present are working propositions that I can't “prove” to you are true, but I can say that if you experiment with accepting them as true and see what consequences result from that acceptance, you will find those results to be fascinating and rewarding."
"Highlight (Yellow)","Location 675","","1) Having is evidence of wanting"
"Highlight (Yellow)","Location 677","","But, again, it's not the conscious part of us that “wants” difficulties or negative patterns. It's the unconscious part of us. The daemonic part. The part of us that we don't usually identify with, but that nevertheless strongly impacts our experience."
"Highlight (Yellow)","Location 681","","Jung explained throughout his work that your unconscious is the fertile, receptive, magically efficacious part of you. The unconscious is generative because the emotions, symbols, and attitudes within it create the synchronicities, or meaningful coincidences, that shape your experience."
"Note","Location 742","","We have a choice to experience them as pleeasuure or pain though - experience is neutral - we dont get a choice of whether we experience them or not"
